Date,State,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,"Populations (White, Black, LatinX, Asian, AIAN, NHPI, Multiracial)",,,,,,,,,,,
20200610,OK,275,27,0,3,24,0,0,0,,,,,,,,,,,0
20200610,OR,127,6,0,7,3,2,2,0,,,,,,,,,,,0
20200610,PA,4245,1216,0,142,0,0,0,0,,,,,,,,,,,0
20200610,PR,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,RI,561,40,69,0,0,0,0,0,,,,,,,,,,,0
20200610,SC,265,243,0,5,0,0,0,0,,,,,,,,,,,0
20200610,SD,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,TN,245,147,0,9,0,0,0,0,,,,,,,,,,,0
20200610,TX,269,85,171,13,0,0,0,0,,,,,,,,,,,0
20200610,UT,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,VA,865,318,0,0,0,0,0,0,,,,,,,,,,,0
20200610,VI,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,VT,52,0,0,2,0,0,0,0,,,,,,,,,,,0
20200610,WA,783,35,123,105,13,10,16,0,,,,,,,,,,,0
20200610,WI,458,166,0,18,9,0,0,0,,,,,,,,,,,0
20200610,WV,58,3,0,0,0,0,0,0,,,,,,,,,,,0
20200610,WY,7,0,1,0,9,0,0,0,,,,,,,,,,,0
20200614,AK,7,0,0,2,2,1,0,0,,,,,,,,,,,0
20200614,AL,375,350,0,5,0,0,0,0,,,,,,,,,,,0
20200614,AR,102,54,0,1,0,9,0,0,,,,,,,,,,,0
20200614,AS,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200614,AZ,533,34,232,15,210,0,0,0,,,,,,,,,,,0
20200614,CA,1632,470,1985,722,14,23,35,0,,,,,,,,,,,0
20200614,CO,1001,106,334,55,8,6,14,0,,,,,,,,,,,0
20200614,CT,3070,625,355,45,0,0,0,0,,,,,,,,,,,0
20200614,DC,55,382,66,7,0,0,0,0,,,,,,,,,,,0
20200614,DE,257,112,27,1,0,0,0,0,,,,,,,,,,,0
20200614,FL,1446,603,706,0,0,0,0,0,,,,,,,,,,,0
20200614,GA,1076,1170,116,38,3,5,0,0,,,,,,,,,,,0
20200614,GU,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200614,HI,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200614,IA,515,32,0,32,0,0,0,0,,,,,,,,,,,0
