Data as of,End Week,Sex,Age Group,Total Deaths,COVID-19 Deaths
9/23/2020,6/27/2020,Female,5-14 years,58,0
9/23/2020,6/27/2020,Female,15-24 years,193,4
9/23/2020,6/27/2020,Female,25-34 years,419,12
9/23/2020,6/27/2020,Female,35-44 years,662,25
9/23/2020,6/27/2020,Female,45-54 years,"1,283",87
9/23/2020,6/27/2020,Female,55-64 years,"3,051",205
9/23/2020,6/27/2020,Female,65-74 years,"4,861",323
9/23/2020,6/27/2020,Female,75-84 years,"6,610",433
9/23/2020,6/27/2020,Female,85 years and over,"10,219",680
9/23/2020,6/27/2020,Female,All ages,"27,512","1,772"
9/23/2020,7/4/2020,Female,Under 1 year,165,0
9/23/2020,7/4/2020,Female,1-4 years,38,0
9/23/2020,7/4/2020,Female,5-14 years,62,0
9/23/2020,7/4/2020,Female,15-24 years,174,6
9/23/2020,7/4/2020,Female,25-34 years,437,25
9/23/2020,7/4/2020,Female,35-44 years,679,46
9/23/2020,7/4/2020,Female,45-54 years,"1,387",101
9/23/2020,7/4/2020,Female,55-64 years,"3,114",222
9/23/2020,7/4/2020,Female,65-74 years,"5,037",372
9/23/2020,7/4/2020,Female,75-84 years,"6,630",475
9/23/2020,7/4/2020,Female,85 years and over,"10,304",742
9/23/2020,7/4/2020,Female,All ages,"28,027","1,989"
9/23/2020,7/11/2020,Female,Under 1 year,164,0
9/23/2020,7/11/2020,Female,1-4 years,22,0
9/23/2020,7/11/2020,Female,5-14 years,59,2
9/23/2020,7/11/2020,Female,15-24 years,206,9
9/23/2020,7/11/2020,Female,25-34 years,451,18
9/23/2020,7/11/2020,Female,35-44 years,698,64
9/23/2020,7/11/2020,Female,45-54 years,"1,351",116
9/23/2020,7/11/2020,Female,55-64 years,"3,197",298
9/23/2020,7/11/2020,Female,65-74 years,"5,113",454
9/23/2020,7/11/2020,Female,75-84 years,"6,854",681
9/23/2020,7/11/2020,Female,85 years and over,"10,554",823
9/23/2020,7/11/2020,Female,All ages,"28,669","2,465"
9/23/2020,7/18/2020,Female,Under 1 year,122,0
9/23/2020,7/18/2020,Female,1-4 years,33,0
9/23/2020,7/18/2020,Female,5-14 years,42,1
9/23/2020,7/18/2020,Female,15-24 years,175,5
9/23/2020,7/18/2020,Female,25-34 years,434,37
9/23/2020,7/18/2020,Female,35-44 years,746,65
9/23/2020,7/18/2020,Female,45-54 years,"1,421",155
9/23/2020,7/18/2020,Female,55-64 years,"3,147",358
9/23/2020,7/18/2020,Female,65-74 years,"5,214",634
9/23/2020,7/18/2020,Female,75-84 years,"7,037",750
9/23/2020,7/18/2020,Female,85 years and over,"10,741","1,060"
